"date_sk","date","year","trimestre","month","day","version","date_from","date_to"
1,,,,,,1,,
2,"1996-07-01 00:00:00",1996,3,7,1,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
3,"1996-07-02 00:00:00",1996,3,7,2,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
4,"1996-07-03 00:00:00",1996,3,7,3,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
5,"1996-07-04 00:00:00",1996,3,7,4,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
6,"1996-07-05 00:00:00",1996,3,7,5,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
7,"1996-07-06 00:00:00",1996,3,7,6,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
8,"1996-07-07 00:00:00",1996,3,7,7,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
9,"1996-07-08 00:00:00",1996,3,7,8,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
10,"1996-07-09 00:00:00",1996,3,7,9,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
11,"1996-07-10 00:00:00",1996,3,7,10,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
12,"1996-07-11 00:00:00",1996,3,7,11,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
13,"1996-07-12 00:00:00",1996,3,7,12,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
14,"1996-07-13 00:00:00",1996,3,7,13,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
15,"1996-07-14 00:00:00",1996,3,7,14,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
16,"1996-07-15 00:00:00",1996,3,7,15,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
17,"1996-07-16 00:00:00",1996,3,7,16,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
18,"1996-07-17 00:00:00",1996,3,7,17,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
19,"1996-07-18 00:00:00",1996,3,7,18,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
20,"1996-07-19 00:00:00",1996,3,7,19,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
21,"1996-07-20 00:00:00",1996,3,7,20,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
22,"1996-07-21 00:00:00",1996,3,7,21,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
23,"1996-07-22 00:00:00",1996,3,7,22,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
24,"1996-07-23 00:00:00",1996,3,7,23,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
25,"1996-07-24 00:00:00",1996,3,7,24,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
26,"1996-07-25 00:00:00",1996,3,7,25,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
27,"1996-07-26 00:00:00",1996,3,7,26,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
28,"1996-07-27 00:00:00",1996,3,7,27,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
29,"1996-07-28 00:00:00",1996,3,7,28,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
30,"1996-07-29 00:00:00",1996,3,7,29,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
31,"1996-07-30 00:00:00",1996,3,7,30,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
32,"1996-07-31 00:00:00",1996,3,7,31,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
33,"1996-08-01 00:00:00",1996,3,8,1,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
34,"1996-08-02 00:00:00",1996,3,8,2,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
35,"1996-08-03 00:00:00",1996,3,8,3,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
36,"1996-08-04 00:00:00",1996,3,8,4,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
37,"1996-08-05 00:00:00",1996,3,8,5,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
38,"1996-08-06 00:00:00",1996,3,8,6,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
39,"1996-08-07 00:00:00",1996,3,8,7,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
40,"1996-08-08 00:00:00",1996,3,8,8,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
41,"1996-08-09 00:00:00",1996,3,8,9,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
42,"1996-08-10 00:00:00",1996,3,8,10,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
43,"1996-08-11 00:00:00",1996,3,8,11,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
44,"1996-08-12 00:00:00",1996,3,8,12,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
45,"1996-08-13 00:00:00",1996,3,8,13,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
46,"1996-08-14 00:00:00",1996,3,8,14,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
47,"1996-08-15 00:00:00",1996,3,8,15,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
48,"1996-08-16 00:00:00",1996,3,8,16,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
49,"1996-08-17 00:00:00",1996,3,8,17,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
50,"1996-08-18 00:00:00",1996,3,8,18,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
51,"1996-08-19 00:00:00",1996,3,8,19,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
52,"1996-08-20 00:00:00",1996,3,8,20,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
53,"1996-08-21 00:00:00",1996,3,8,21,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
54,"1996-08-22 00:00:00",1996,3,8,22,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
55,"1996-08-23 00:00:00",1996,3,8,23,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
56,"1996-08-24 00:00:00",1996,3,8,24,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
57,"1996-08-25 00:00:00",1996,3,8,25,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
